Class/Folder Name,[Dep_In, Dep_Out, NOC, NumAnc, NumAssEl_nsb, NumAssEl_ssc, NumDesc, abstractness, avrgFieldVisibility, avrgMethodVisibility, eC_Attr, eC_Par, getters, iC_Attr, iC_Par, iFImpl, nesting, numCls, numConstants, numFields, numInterf, numOps, numOpsCls, packagenesting, setters, staticness]
CH.ifa.draw.applet,,,,,,,,0,,,,,,,,,,5,,,0,,54,3,,
CH.ifa.draw.applet.DrawApplet,7,30,3,0,,,3,,0.263157895,1.826086957,3,4,3,19,11,3,0,,2,19,,46,,,6,0.065217391
CH.ifa.draw.applet.DrawApplet$1,1,2,0,0,,,0,,0,2,0,0,0,1,1,0,0,,0,1,,2,,,0,0
CH.ifa.draw.applet.DrawApplet$2,1,2,0,0,,,0,,0,2,0,0,0,1,1,0,0,,0,1,,2,,,0,0
CH.ifa.draw.applet.DrawApplet$3,1,2,0,0,,,0,,0,2,0,0,0,1,1,0,0,,0,1,,2,,,0,0
CH.ifa.draw.applet.SleeperThread,1,1,0,0,,,0,,1,2,0,0,0,1,0,0,0,,0,1,,2,,,0,0
CH.ifa.draw.application,,,,,,,,0,,,,,,,,,,10,,,0,,93,3,,
CH.ifa.draw.application.DrawApplication,20,41,5,0,,,6,,1.05,2.28,9,10,8,20,21,3,0,,6,20,,75,,,7,0.04
CH.ifa.draw.application.DrawApplication$1,1,2,0,0,,,0,,0,2,0,0,0,1,1,0,0,,0,1,,2,,,0,0
CH.ifa.draw.application.DrawApplication$2,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.application.DrawApplication$3,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.application.DrawApplication$4,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.application.DrawApplication$5,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.application.DrawApplication$6,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.application.DrawApplication$7,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.application.DrawApplication$8,1,3,0,1,,,0,,0,2,0,0,0,1,2,0,0,,0,1,,2,,,0,0
CH.ifa.draw.application.DrawApplication$9,1,4,0,1,,,0,,0,2,0,0,0,2,2,0,0,,0,2,,2,,,0,0
CH.ifa.draw.contrib,,,,,,,,0.142857143,,,,,,,,,,31,,,4,,301,3,,
CH.ifa.draw.contrib.AutoscrollHelper,0,2,1,0,,,1,,0,3,0,0,4,2,0,0,0,,0,2,,8,,,1,0
CH.ifa.draw.contrib.ChopDiamondConnector,1,3,0,2,,,0,,0,2.666666667,0,0,0,1,2,0,0,,1,1,,3,,,0,0
CH.ifa.draw.contrib.ChopPolygonConnector,1,3,0,2,,,0,,0,2.666666667,0,0,0,1,2,0,0,,1,1,,3,,,0,0
